t|bible reference|texte|rain|snow|wind|fog|storm|night
AT|Gn 24,54|Ils mangèrent et burent, lui et les hommes qui l’accompagnaient, ils passèrent la nuit et, le matin, ils se levèrent. Le serviteur dit alors : « Laissez-moi retourner chez mon maître. »|False|False|False|False|False|True
AT|Gn 24,63|Il était sorti à la tombée du jour, pour se promener dans la campagne, lorsque, levant les yeux, il vit arriver des chameaux.|False|False|False|False|False|True
AT|Gn 26,24|Le Seigneur lui apparut, cette nuit-là, et dit : « Je suis le Dieu d’Abraham, ton père : ne crains pas, car je suis avec toi ; je te bénirai et je multiplierai ta descendance à cause d’Abraham, mon serviteur. »|False|False|False|False|False|True
AT|Gn 28,11|Il atteignit le lieu où il allait passer la nuit car le soleil s’était couché. Il y prit une pierre pour la mettre sous sa tête, et dormit en ce lieu.|False|False|False|False|False|True
AT|Gn 29,23|Le soir venu, il prit sa fille Léa, l’amena à Jacob et Jacob s’unit à elle.|False|False|False|False|False|True
AT|Gn 30,15|Léa répondit : « Ne te suffit-il pas de m’avoir pris mon mari que tu veuilles aussi les mandragores de mon fils ? » Alors Rachel dit : « Eh bien ! Que Jacob couche avec toi, cette nuit, en échange des mandragores de ton fils. »|False|False|False|False|False|True
AT|Gn 30,16|Le soir, quand Jacob revint des champs, Léa sortit à sa rencontre et dit : « Viens donc, car c’est toi mon cadeau en échange des mandragores de mon fils. » Il coucha donc avec elle, cette nuit-là.|False|False|False|False|False|True
AT|Gn 31,24|Pendant la nuit, Dieu vint trouver Laban l’Araméen dans un songe et lui dit : « Garde-toi de dire le moindre mot à Jacob, en bien ou en mal. »|False|False|False|False|False|True
AT|Gn 31,29|J’ai entre les mains le pouvoir de vous faire du mal, mais, hier soir, le Dieu de votre père m’a adressé cette parole : “Garde-toi de dire le moindre mot à Jacob, en bien ou en mal.”|False|False|False|False|False|True
AT|Gn 31,39|La bête déchirée, je ne te la rapportais pas, c’est moi qui en subissais le dommage ; et la bête volée le jour ou la nuit, tu me la réclamais !|False|False|False|False|False|True
AT|Gn 31,40|J’étais là, le jour, quand la chaleur me dévorait et la nuit, quand le froid me glaçait. Le sommeil me fuyait !|False|False|False|False|False|True
AT|Gn 31,42|Si le Dieu de mon père, le Dieu d’Abraham, l’Effroi d’Isaac, n’avait pas été avec moi, tu m’aurais, maintenant, renvoyé les mains vides. Mais Dieu a vu ma misère et la fatigue de mes mains. Hier soir, il s’est prononcé ! »|False|False|False|False|False|True
AT|Gn 31,54|Puis Jacob offrit un sacrifice sur la montagne et invita ses frères à manger le pain. Ils mangèrent le pain et passèrent la nuit sur la montagne.|False|False|False|False|False|True
AT|Gn 32,14|Jacob passa la nuit à cet endroit, puis, sur ce qu’il avait acquis, il préleva un présent pour son frère Ésaü :|False|False|False|False|False|True
AT|Gn 32,22|Ainsi le présent précéda Jacob. Et lui-même passa la nuit au camp.|False|False|False|False|False|True
AT|Gn 32,23|Cette nuit-là, Jacob se leva, il prit ses deux femmes, ses deux servantes, ses onze enfants, et passa le gué du Yabboq.|False|False|False|False|False|True
AT|Gn 32,25|Jacob resta seul. Or, quelqu’un lutta avec lui jusqu’au lever de l’aurore.|False|False|False|False|False|True
AT|Gn 35,5|Ils levèrent le camp, et une épouvante divine s’abattit sur les villes d’alentour. Ainsi personne ne poursuivit les fils de Jacob.|False|False|False|False|True|False
AT|Gn 40,5|Une même nuit, l’échanson et le panetier du roi d’Égypte firent tous deux un songe, alors qu’ils étaient prisonniers dans la prison. Et chacun des songes avait sa propre signification.|False|False|False|False|False|True
AT|Gn 40,7|Il demanda donc aux dignitaires de Pharaon qui étaient avec lui au poste de garde, dans la maison de son maître : « Pourquoi vos visages sont-ils si sombres aujourd’hui ? »|False|False|False|False|False|True
AT|Gn 41,4|Et les vaches laides et très maigres mangeaient les sept vaches belles et bien grasses. Alors Pharaon s’éveilla.|False|False|False|False|False|True
AT|Gn 41,6|Puis, après eux, germaient sept épis maigres et desséchés par le vent d’est.|False|False|True|False|False|False
AT|Gn 41,11|Une même nuit, nous avons fait un songe, moi et lui. Et chacun des songes avait sa propre signification.|False|False|False|False|False|True
AT|Gn 41,21|qui entraient dans leur panse. Mais on ne s’apercevait pas que les grasses étaient entrées dans leur panse : elles restaient aussi laides qu’avant. Alors je me suis réveillé.|False|False|False|False|False|True
AT|Gn 41,23|Puis, après eux, germaient sept épis durcis, maigres et desséchés par le vent d’est.|False|False|True|False|False|False
AT|Gn 41,27|Les sept vaches décharnées et laides qui montaient derrière les autres représentent sept années ; de même, les sept épis vides et desséchés par le vent d’est. Ce seront sept années de famine.|False|False|True|False|False|False
AT|Gn 45,2|Il pleura si fort que les Égyptiens l’entendirent, et même la maison de Pharaon.|True|False|False|False|True|False
AT|Gn 46,2|et Dieu parla à Israël dans une vision nocturne. Il dit : « Jacob ! Jacob ! » Il répondit : « Me voici. »|False|False|False|False|False|True
AT|Gn 49,4|torrent impétueux, ne déborde plus, toi qui es monté sur le lit de ton père et, en y montant, tu l’as profané.|True|False|True|False|True|False
AT|Gn 49,33|Lorsque Jacob eut achevé de donner ses instructions à ses fils, il s’allongea sur son lit, il expira et fut réuni aux siens.|False|False|False|False|False|True
AT|Ex 4,6|Le Seigneur dit encore à Moïse : « Mets donc la main sur ta poitrine. » Il mit la main sur sa poitrine, puis la retira : et sa main était lépreuse, blanche comme neige.|False|True|False|False|False|False
AT|Ex 4,22|Tu diras à Pharaon : “Ainsi parle le Seigneur :|False|False|False|False|False|True
AT|Ex 4,24|Or, en cours de route, au campement de nuit, le Seigneur rencontra Moïse et chercha à le faire mourir.|False|False|False|False|False|True
AT|Ex 9,18|Eh bien, moi, demain, à pareille heure, je ferai tomber une grêle d’une extrême violence, comme il n’y en a jamais eu en Égypte depuis le jour de sa fondation jusqu’à présent.|True|False|True|False|True|False
AT|Ex 9,19|Maintenant, envoie donc mettre à l’abri tes troupeaux, ainsi que tout ce qui t’appartient dans les champs. Tout homme et toute bête qui se trouveront dans les champs et n’auront pas regagné les maisons, tous, quand la grêle s’abattra, périront. »|True|False|False|False|True|False
AT|Ex 9,22|Le Seigneur dit à Moïse : « Étends la main vers le ciel, et qu’il y ait de la grêle partout en Égypte, sur les hommes et sur les bêtes, et sur l’herbe des champs dans ce pays d’Égypte. »|True|False|False|False|True|False
AT|Ex 9,23|Moïse étendit son bâton vers le ciel, et le Seigneur déchaîna tonnerre et grêle. La foudre tomba sur terre, et le Seigneur fit pleuvoir la grêle sur le pays d’Égypte.|True|False|False|False|True|False
AT|Ex 9,24|Il y eut grêle et foudre mêlée à la grêle. Ce fut d’une violence extrême : jamais il n’y eut rien de tel dans le pays d’Égypte depuis qu’il est une nation.|True|False|True|False|True|False
AT|Ex 9,25|Partout en Égypte, la grêle frappa tout ce qui était dans les champs, depuis l’homme jusqu’au bétail ; la grêle frappa toute l’herbe des champs et brisa tout arbre dans les champs.|False|True|False|False|True|False
AT|Ex 9,28|Priez le Seigneur ! Assez de tonnerre et de grêle ! Je vais vous laisser partir : ne restez pas plus longtemps sur place. »|True|False|False|False|True|False
AT|Ex 9,29|Moïse lui dit : « Dès que je serai sorti de la ville, je tendrai les mains vers le Seigneur : le tonnerre cessera, la grêle ne tombera plus, afin que tu reconnaisses que le pays appartient au Seigneur.|True|False|False|False|True|False
AT|Ex 9,33|Moïse quitta Pharaon et sortit de la ville ; il tendit les mains vers le Seigneur : le tonnerre et la grêle cessèrent, et la pluie s’arrêta de tomber sur la terre.|True|False|False|False|True|False
AT|Ex 9,34|Pharaon, voyant que la pluie, la grêle et le tonnerre avaient cessé, persévéra dans son péché ; lui et ses serviteurs s’entêtèrent.|True|False|False|False|True|False
AT|Ex 10,5|Elles recouvriront le pays, et l’on ne pourra plus en voir le sol. Elles dévoreront ce qui reste, ce qui a échappé à la grêle, ce que la grêle vous a laissé ; elles dévoreront tout arbre qui pousse dans vos champs.|True|False|False|False|True|False
AT|Ex 10,13|Moïse étendit son bâton sur le pays d’Égypte, et le Seigneur fit lever sur le pays un vent d’est qui souffla tout ce jour-là et toute la nuit. Au matin, le vent d’est avait amené les sauterelles.|False|False|True|False|False|True
AT|Ex 10,15|Elles recouvrirent tout le pays, qui en fut obscurci. Elles dévorèrent toute l’herbe du pays et tous les fruits des arbres épargnés par la grêle ; il ne resta rien de vert ni sur les arbres ni dans les prairies, par tout le pays d’Égypte.|True|False|False|False|True|False
AT|Ex 10,19|Le Seigneur changea le vent d’est en un très fort vent d’ouest qui emporta les sauterelles et les précipita dans la mer des Roseaux. Il ne resta plus une seule sauterelle sur tout le territoire d’Égypte.|False|False|True|False|True|False
AT|Ex 10,21|Le Seigneur dit à Moïse : « Étends la main vers le ciel. Qu’il y ait des ténèbres sur le pays d’Égypte, des ténèbres où l’on tâtonne. »|False|False|False|False|False|True
AT|Ex 10,22|Moïse étendit la main vers le ciel et, pendant trois jours, il y eut d’épaisses ténèbres sur tout le pays d’Égypte.|False|False|False|False|False|True
AT|Ex 11,4|Alors Moïse dit : « Ainsi parle le Seigneur : Au milieu de la nuit, en plein cœur de l’Égypte, je sortirai|False|False|False|False|False|True
AT|Ex 12,6|Vous le garderez jusqu’au quatorzième jour du mois. Dans toute l’assemblée de la communauté d’Israël, on l’immolera au coucher du soleil.|False|False|False|False|False|True
AT|Ex 12,8|On mangera sa chair cette nuit-là, on la mangera rôtie au feu, avec des pains sans levain et des herbes amères.|False|False|False|False|False|True
AT|Ex 12,12|Je traverserai le pays d’Égypte, cette nuit-là ; je frapperai tout premier-né au pays d’Égypte, depuis les hommes jusqu’au bétail. Contre tous les dieux de l’Égypte j’exercerai mes jugements : Je suis le Seigneur.|False|False|False|False|False|True
AT|Ex 12,18|Le premier mois, du quatorzième jour au soir jusqu’au vingt et unième jour au soir, vous mangerez du pain sans levain.|False|False|False|False|False|True
AT|Ex 12,22|Puis vous prendrez un bouquet d’hysope, vous le tremperez dans le sang que vous aurez recueilli dans un récipient, et vous étendrez le sang sur le linteau et les deux montants de la porte. Que nul d’entre vous ne sorte de sa maison avant le matin.|False|False|False|False|False|True
AT|Ex 12,29|Au milieu de la nuit, le Seigneur frappa tous les premiers-nés de l’Égypte, du premier-né de Pharaon qui siège sur le trône, jusqu’au premier-né du captif dans sa prison, et tous les premiers-nés du bétail.|False|False|False|False|False|True
AT|Ex 12,30|Cette nuit-là, Pharaon se leva, ainsi que tous ses serviteurs et tous les Égyptiens ; et une immense clameur s’éleva en Égypte, car il n’y avait pas une seule maison sans un mort.|False|False|False|False|False|True
AT|Ex 12,31|Pharaon convoqua Moïse et Aaron en pleine nuit, et leur dit : « Levez-vous ! Sortez du milieu de mon peuple, vous et les fils d’Israël. Allez ! Servez le Seigneur comme vous l’avez demandé.|False|False|False|False|False|True
AT|Ex 12,42|Ce fut une nuit de veille pour le Seigneur, quand il fit sortir d’Égypte les fils d’Israël ; ce doit être pour eux, de génération en génération, une nuit de veille en l’honneur du Seigneur.|False|False|False|False|False|True
AT|Ex 13,21|Le Seigneur lui-même marchait à leur tête : le jour dans une colonne de nuée pour leur ouvrir la route, la nuit dans une colonne de feu pour les éclairer ; ainsi pouvaient-ils marcher jour et nuit.|False|False|False|False|False|True
AT|Ex 13,22|Le jour, la colonne de nuée ne quittait pas la tête du peuple ; ni, la nuit, la colonne de feu.|False|False|False|False|False|True
AT|Ex 14,20|entre le camp des Égyptiens et le camp d’Israël. Cette nuée était à la fois ténèbres et lumière dans la nuit, si bien que, de toute la nuit, ils ne purent se rencontrer.|False|False|False|False|False|True
AT|Ex 14,21|Moïse étendit le bras sur la mer. Le Seigneur chassa la mer toute la nuit par un fort vent d’est ; il mit la mer à sec, et les eaux se fendirent.|False|False|True|False|False|True
AT|Ex 14,24|Aux dernières heures de la nuit, le Seigneur observa, depuis la colonne de feu et de nuée, l’armée des Égyptiens, et il la frappa de panique.|False|False|False|False|False|True
AT|Ex 15,4|Les chars du Pharaon et ses armées, il les lance dans la mer. [L’élite de leurs chefs a sombré dans la mer Rouge.|False|False|True|False|True|False
AT|Ex 15,8|Au souffle de tes narines, les eaux s’amoncellent : comme une digue, se dressent les flots ; les abîmes se figent au cœur de la mer.|True|False|True|False|True|False
AT|Ex 15,10|Tu souffles ton haleine : la mer les recouvre ; comme du plomb, ils s’abîment dans les eaux redoutables.|False|False|False|False|False|True
AT|Ex 15,14|[Les peuples ont entendu : ils tremblent ; les douleurs ont saisi les habitants de Philistie.|False|False|False|False|True|False
AT|Ex 16,4|Le Seigneur dit à Moïse : « Voici que, du ciel, je vais faire pleuvoir du pain pour vous. Le peuple sortira pour recueillir chaque jour sa ration quotidienne, et ainsi je vais le mettre à l’épreuve : je verrai s’il marchera, ou non, selon ma loi.|True|False|False|False|False|False
AT|Ex 16,6|Moïse et Aaron dirent alors aux fils d’Israël : « Ce soir, vous saurez que le Seigneur vous a fait sortir du pays d’Égypte ;|False|False|False|False|False|True
AT|Ex 16,8|Par là, Moïse voulait dire : « Vous verrez la gloire du Seigneur quand, le soir, il vous donnera de la viande en nourriture et, le matin, du pain à satiété. En effet, le Seigneur a entendu vos récriminations. Car ce n’est pas contre nous que vous récriminez mais bien contre le Seigneur. »|False|False|False|False|False|True
AT|Ex 16,12|« J’ai entendu les récriminations des fils d’Israël. Tu leur diras : “Au coucher du soleil, vous mangerez de la viande et, le lendemain matin, vous aurez du pain à satiété. Alors vous saurez que moi, le Seigneur, je suis votre Dieu.” »|False|False|False|False|False|True
AT|Ex 16,13|Le soir même, surgit un vol de cailles qui recouvrirent le camp ; et, le lendemain matin, il y avait une couche de rosée autour du camp.|False|False|False|False|False|True
AT|Ex 16,19|Moïse leur dit encore : « Que personne n’en garde jusqu’au matin ! »|False|False|False|False|False|True
AT|Ex 19,16|Le troisième jour, dès le matin, il y eut des coups de tonnerre, des éclairs, une lourde nuée sur la montagne, et une puissante sonnerie de cor ; dans le camp, tout le peuple trembla.|True|False|False|False|True|False
AT|Ex 20,18|Tout le peuple voyait les éclairs, les coups de tonnerre, la sonnerie du cor et la montagne fumante. Le peuple voyait : ils frémirent et se tinrent à distance.|True|False|False|False|True|False
AT|Ex 20,21|Le peuple se tint à distance, mais Moïse s’approcha de la nuée obscure où Dieu était.|False|False|False|False|False|True
AT|Ex 22,1|Si un voleur, surpris de nuit en délit d’effraction, est frappé à mort, les siens ne pourront pas le venger.|False|False|False|False|False|True
AT|Ex 24,18|Moïse entra dans la nuée et gravit la montagne. Moïse resta sur la montagne quarante jours et quarante nuits.|False|False|False|False|False|True
AT|Ex 27,21|C’est dans la tente de la Rencontre, à l’extérieur du rideau qui abrite le Témoignage, que la disposeront Aaron et ses fils, pour qu’elle soit du soir au matin devant le Seigneur : c’est un décret perpétuel, de génération en génération, pour les fils d’Israël.|False|False|False|False|False|True
AT|Ex 29,34|Au matin, s’il reste de la viande et du pain, tu brûleras ce reste au feu. On ne le mangera pas, car c’est chose sainte.|False|False|False|False|False|True
AT|Ex 29,39|Le premier agneau, tu le mettras le matin ; et le second agneau, au coucher du soleil.|False|False|False|False|False|True
AT|Ex 29,41|Avec le second agneau, que tu mettras au coucher du soleil, tu feras la même offrande que le matin, et la même libation : ce sera une nourriture offerte, en agréable odeur au Seigneur.|False|False|False|False|False|True
AT|Ex 30,8|Et quand, au coucher du soleil, il viendra allumer les lampes, il y brûlera à nouveau de l’encens. De génération en génération, l’encens montera perpétuellement devant le Seigneur.|False|False|False|False|False|True
AT|Ex 34,28|Moïse demeura sur le Sinaï avec le Seigneur quarante jours et quarante nuits ; il ne mangea pas de pain et ne but pas d’eau. Sur les tables de pierre, il écrivit les paroles de l’Alliance, les Dix Paroles.|False|False|False|False|False|True
AT|Ex 35,3|Vous n’allumerez aucun feu dans vos maisons, le jour du sabbat. »|False|False|False|False|False|True
AT|Ex 40,38|Dans la journée, la nuée du Seigneur reposait sur la Demeure, et la nuit, un feu brillait dans la nuée aux yeux de tout Israël. Et il en fut ainsi à toutes leurs étapes.|False|False|False|False|False|True
AT|Lv 1,1|LE SEIGNEUR APPELA Moïse et lui parla depuis la tente de la Rencontre :|False|False|False|False|False|True
AT|Lv 6,2|« Donne cet ordre à Aaron et à ses fils : Voici la loi de l’holocauste. Cet holocauste restera sur le brasier de l’autel toute la nuit jusqu’au matin, et le feu de l’autel restera allumé.|False|False|False|False|False|True
AT|Lv 8,35|Vous demeurerez à l’entrée de la tente de la Rencontre jour et nuit durant sept jours, en gardant les observances du Seigneur, et vous ne mourrez pas. C’est en effet ce qui m’a été ordonné. »|False|False|False|False|False|True
AT|Lv 11,24|Vous vous rendrez impurs avec les animaux ci-après. Quiconque touche leur cadavre sera impur jusqu’au soir,|False|False|False|False|False|True
AT|Lv 11,25|et quiconque porte une partie de leur cadavre devra laver ses vêtements et sera impur jusqu’au soir.|False|False|False|False|False|True
AT|Lv 11,27|De même, tous les animaux qui marchent sur la plante des pieds sont impurs pour vous. Quiconque touche leur cadavre sera impur jusqu’au soir,|False|False|False|False|False|True
AT|Lv 11,31|Parmi tous les petits animaux, ceux-là sont impurs pour vous. Quiconque les touche quand ils sont crevés sera impur jusqu’au soir.|False|False|False|False|False|True
AT|Lv 11,32|Qu’une de ces bêtes ayant crevé tombe sur n’importe quel objet, celui-ci devient impur, que ce soit un ustensile de bois, un vêtement, une peau ou une toile à sac, bref un ustensile servant à n’importe quel usage ; on le plongera dans l’eau, il sera impur jusqu’au soir, puis il sera pur.|False|False|False|False|False|True
AT|Lv 11,39|Si un animal que vous pouvez manger vient à crever, quiconque touchera son cadavre sera impur jusqu’au soir.|False|False|False|False|False|True
AT|Lv 11,40|Quiconque mangera de son cadavre devra nettoyer ses vêtements et sera impur jusqu’au soir, et quiconque transportera son cadavre devra nettoyer ses vêtements et sera impur jusqu’au soir.|False|False|False|False|False|True
AT|Lv 11,42|Tout ce qui rampe sur le ventre, tout ce qui marche sur quatre pattes ou davantage, bref tous les petits animaux qui foisonnent sur la terre, vous n’en mangerez pas, car ils sont immondes.|False|False|True|False|False|False
AT|Lv 13,13|celui-ci l’examinera : s’il constate que la lèpre a couvert tout le corps, il déclarera pure cette tache. C’est parce que l’homme est devenu entièrement blanc, qu’il est pur.|False|True|False|False|False|False
AT|Lv 14,46|Quiconque entrera dans la maison pendant tout le temps où elle aura été déclarée interdite, sera impur jusqu’au soir.|False|False|False|False|False|True
AT|Lv 15,5|Un homme qui touchera ce lit devra laver ses vêtements et se baigner dans l’eau ; il restera impur jusqu’au soir.|False|False|False|False|False|True
AT|Lv 15,6|Celui qui s’assiéra sur quoi que ce soit où l’homme atteint d’un écoulement se sera assis, devra laver ses vêtements et se baigner dans l’eau ; il restera impur jusqu’au soir.|False|False|False|False|False|True
AT|Lv 15,7|Celui qui touchera le corps de l’homme atteint d’un écoulement devra laver ses vêtements et se baigner dans l’eau ; il restera impur jusqu’au soir.|False|False|False|False|False|True
AT|Lv 15,8|Si l’homme atteint d’un écoulement crache sur quelqu’un qui est pur, celui-ci devra laver ses vêtements et se baigner dans l’eau ; il restera impur jusqu’au soir.|False|False|False|False|False|True
AT|Lv 15,10|Quiconque touchera à quelque objet qui se sera trouvé sous cet homme sera impur jusqu’au soir. Et quiconque transportera un tel objet devra laver ses vêtements et se baigner dans l’eau ; il restera impur jusqu’au soir.|False|False|False|False|False|True
AT|Lv 15,11|Quiconque aura été touché par un homme atteint d’un écoulement, sans que celui-ci se soit rincé les mains, devra nettoyer ses vêtements et se baigner ; il restera impur jusqu’au soir.|False|False|False|False|False|True
AT|Lv 15,16|Si un homme a eu un épanchement séminal, il devra se baigner tout le corps dans l’eau ; il restera impur jusqu’au soir.|False|False|False|False|False|True
AT|Lv 15,17|Tout vêtement et tout objet de cuir atteint par l’épanchement séminal devra être lavé à l’eau ; il restera impur jusqu’au soir.|False|False|False|False|False|True
AT|Lv 15,18|Quand une femme et un homme auront eu une relation sexuelle, ils devront se baigner dans l’eau ; ils resteront impurs jusqu’au soir.|False|False|False|False|False|True
AT|Lv 15,19|« Lorsqu’une femme a un écoulement, que du sang s’écoule de son corps, elle restera pendant sept jours dans sa souillure. Quiconque la touchera sera impur jusqu’au soir.|False|False|False|False|False|True
AT|Lv 15,21|Quiconque touchera son lit devra laver ses vêtements, se baigner dans l’eau, et restera impur jusqu’au soir.|False|False|False|False|False|True
AT|Lv 15,22|Quiconque touchera quelque objet sur lequel elle se sera assise, devra laver ses vêtements, se baigner dans l’eau, et restera impur jusqu’au soir.|False|False|False|False|False|True
